GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.inova_evento.app.entities.enums,Roles,0,15,0,0,0,3,0,1,0,1
app,com.inova_evento.app,AppApplication,5,3,0,0,2,1,1,1,1,1
app,com.inova_evento.app.services,UsuariosService,23,112,6,10,3,22,7,10,1,8
app,com.inova_evento.app.services,EventosService,26,44,2,2,3,9,2,7,1,6
app,com.inova_evento.app.services,VotosPopularesService,1,97,3,7,0,17,3,7,0,5
app,com.inova_evento.app.services,IdeiasService,5,102,0,8,0,19,1,11,1,7
app,com.inova_evento.app.services,JuradosService,19,125,0,6,1,19,4,9,4,6
app,com.inova_evento.app.services,AvaliacoesService,15,112,1,11,0,22,4,11,3,6
app,com.inova_evento.app.controllers,UsuariosController,66,3,0,0,12,1,6,1,6,1
app,com.inova_evento.app.controllers,IdeiasController,0,31,0,0,0,5,0,4,0,4
app,com.inova_evento.app.controllers,AdminController,0,78,0,0,0,15,0,8,0,8
app,com.inova_evento.app.controllers,JuradosController,0,43,0,0,0,6,0,5,0,5
app,com.inova_evento.app.exception,DatabaseException,3,0,0,0,1,0,1,0,1,0
app,com.inova_evento.app.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
app,com.inova_evento.app.exception,UniqueEmailException,0,4,0,0,0,2,0,1,0,1
app,com.inova_evento.app.exception,AccessDeniedException,0,4,0,0,0,2,0,1,0,1
app,com.inova_evento.app.exception,ErrorMessage,16,60,1,1,4,18,2,3,1,3
app,com.inova_evento.app.exception,BusinnesException,0,4,0,0,0,2,0,1,0,1
app,com.inova_evento.app.exception,ApiExceptionHandler,0,96,0,0,0,29,0,8,0,8
